"X","iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","wa_weight_g","wa_weight_o_wa_sum","Y_o_L_t_wa_weight_o_wa_sum","log_Y_o_L_t_wa_weight_o_wa_sum"
11,"AGO",1970,28522.482421875,3399.9,6539.3,0.12329424098378,0.06812239915498,0.279878641536646,0.114323724886294,0.273843711215844,0.463402945214384,0.207639364778245,4.36170269323551,1.67928159128576,0.190182064178358,0.0164710726786082,8.82378893496868e-05,0.829517621531834,0.0718419220627633,0.000384867439621946,0.280112031850614,0.0242596253999913,0.000129962278928525,0.203222027499761,0.0948918152992315,0.413889886356665,0.139762596984609
12,"AGO",1975,30533.283203125,3811.8,7397.5,0.149728826574153,-0.0540255915916958,0.16006805915522,0.133557619724986,0.283121430177362,0.491433508224819,0.318453731118535,4.12751378210544,1.63462089884093,0.223149168371898,0.0235059551917729,0.000157405949944908,0.921051267920376,0.0970211540155957,0.000649695227783007,0.316353049912374,0.0333238105715362,0.000223150517220108,0.314038735570144,0.103888900894653,0.428802870250466,0.147280722083151
13,"AGO",1980,28927.419921875,4356.6,8592.5,0.172949015195632,0.130699149344515,0.118290228784979,0.160939980290362,0.302588553532534,0.493526275236197,0.435318071257845,3.36658945846669,1.47398226011551,0.25921590230914,0.0337648625074599,0.000275444153697838,0.872673524180881,0.113672430184192,0.000927307384235418,0.314662236119576,0.0409871734111304,0.000334361713754973,0.274857385322758,0.12449262961389,0.41911557451492,0.151121628209349
14,"AGO",1985,32966.546875,5117.5,10215,0.13448776757191,0.0876710175822843,0.0195300941267949,0.126650294300246,0.214569275289722,0.402713317709075,0.424883193965266,3.2272684165443,1.44155602005221,0.298720078163166,0.0472105520273571,0.000468978993649243,0.964049873643628,0.152361123485511,0.00151352109422693,0.349991223775224,0.0553135864879271,0.000549472713456229,0.326084016864806,0.139569838783899,0.450429332609457,0.163525059910455
15,"AGO",1990,35987.328125,5808.6,11685.6,0.155120795694115,-0.117955591836029,0.244112645551681,0.15964369006856,0.209355503985981,0.357005558885539,0.455475528682826,3.07963032492983,1.4060063776762,0.326205970457597,0.0623041696794408,0.000723065798987708,1.00459379879438,0.19187381031438,0.00222677536148216,0.366919595864084,0.0700803260202724,0.000813311327121149,0.209516201492576,0.170934084255027,0.526413789435893,0.192268293024406
16,"AGO",1995,31983.10546875,6814.2,13646.6,0.13741828648946,0.13316323737004,0.269567872862453,0.142440336787752,0.170103578832506,0.279453166924256,0.389071298332488,2.34366842061393,1.20706853379115,0.342857562149629,0.0759590267382818,0.00105661706436559,0.803544441178761,0.17802277222708,0.00247636004643542,0.292017752407647,0.0646956249823216,0.000899939141948832,0.306626426232469,0.180429264084507,0.42286636838947,0.153674744217919
17,"AGO",2000,36538.80859375,7857.5,15657,0.168813738978328,0.783630767295753,0.13889977778731,0.169138822347293,0.205028314674209,0.29084853248679,0.357501048901038,2.33370432354538,1.20408409519649,0.352491250397709,0.087152402163538,0.00141266306076996,0.822610355065051,0.203387937736414,0.00329673789263172,0.2987211224424,0.0738578996456496,0.00119717097848527,0.274522898378931,0.212377771715186,0.495626924076664,0.179980996058757
18,"AGO",2005,79999.515625,9305.7,18536.5,0.173884173912212,0.690801967325086,0.864667274076686,0.167433392006236,0.221919704989503,0.348608044898364,0.352039941434584,4.31578321824508,1.67068036090835,0.365388955156517,0.0984665312657834,0.0017516146018032,1.5769395207966,0.424960203195673,0.00755958890329528,0.534300529699783,0.143985523017443,0.00256134893068245,0.207308186749673,0.235877521453089,1.01799624864849,0.344918703420227
19,"AGO",2010,159625.234375,11002,22057.1,0.233526444374125,0.341991696933421,0.274862111747682,0.292675039876714,0.338770756029721,0.541282523378199,0.549107810337008,7.23690940218796,2.10862520101407,0.385866206144337,0.118060352663152,0.00214506453372114,2.79247877523255,0.854392076213592,0.0155236376923865,0.763704171495745,0.233664369621893,0.00424549936336645,0.599185219008577,0.245277551311495,1.7750514172318,0.485451916047765
20,"AGO",2015,224712.609375,14743.1,27859.4,0.14988362520053,0.0138902606525146,0.125944377035081,0.1827385858242,0.183062520220069,0.448935930761296,0.697831029872371,8.06595294137706,2.20452596183422,0.404087335770632,0.151426769132679,0.00282165894554063,3.25934943453235,1.22140119388896,0.0227593682713463,0.843593679028515,0.316126376572582,0.00589064155225954,0.382332425848514,0.329980765108344,2.6616093229235,0.688884958781288
21,"ALB",1970,6697.49169921875,1270.8,2150.6,0.114368897823125,0.198019793181903,0.259261986815142,0.149647486213246,0.0240128668180324,0.336871571069115,0.492938059073218,3.11424332708023,1.41445493558774,0.264715140069248,0.421388101983003,0.0276203966005666,0.824387358537764,1.31230508471157,0.086016635804624,0.300712748717145,0.478691072943017,0.0313763896550885,0.378575413568962,0.587555232808704,1.82978996306558,0.667454642128998
22,"ALB",1975,8164.37109375,1476.1,2411.3,0.106056704054627,0.199273303548733,0.245517527064239,0.151254723906145,-0.0055128530741122,0.286117100851267,0.444729206150495,3.38587944003235,1.47839016216518,0.233453018088205,0.508366641826435,0.0393604769324572,0.790443774158354,1.72126816055841,0.133269829595474,0.284722493949624,0.620010909633773,0.0480045760257492,0.355136050220072,0.746527205790441,2.52765111751065,0.910474790921701
23,"ALB",1980,9964.9619140625,1717.3,2681.2,0.101217278720447,0.094897869592323,0.242554463806757,0.131404940811721,-0.0286281908790871,0.223403439563726,0.3474130962002,3.7166052193281,1.55108930763199,0.199557444826181,0.581901822628545,0.0531066208583241,0.741676240996762,2.16269935111778,0.197376344262926,0.261981144080037,0.763926925238346,0.0697189388389244,0.300515509987443,0.909366379120879,3.37975583092215,1.19382589107371
24,"ALB",1985,10957.0390625,1958.6,2966.9,0.100750695179665,0.0989435539131662,0.192020186658093,0.120071132890607,-0.0378324556718894,0.187810052069644,0.257933597051006,3.69309348562473,1.54609195684075,0.170019401613397,0.638057796385173,0.0661186561829878,0.627897544528252,2.35640709128215,0.244182378427653,0.222124303988756,0.833599827912159,0.0863816737734052,0.257865192188863,1.04877163415779,3.87321169001612,1.37018285601407
25,"ALB",1990,12096.71875,2208.6,3281.5,-0.054722424444785,0.122232897086938,-0.0209434600414689,-0.0541175081569749,-0.141738396762535,-0.0221099720815534,0.0303230229603884,3.68633818375743,1.54465150644387,0.145159829756407,0.682830752512904,0.076021008783845,0.53510822317877,2.51714507603214,0.280239147447647,0.18938039173642,0.890843945033361,0.0991795626093106,-0.0145002028387538,1.18590370893119,4.37164212449259,1.54716982884274
26,"ALB",1995,13669.630859375,2092.2,3106.7,0.00487915454512944,0.196215315507878,0.0852233841936538,0.0397589416231297,-0.122991848511044,0.0766548823226367,0.185093892588049,4.40004855936363,1.68640794600454,0.132922282764554,0.705047318611987,0.0827358761112704,0.584864498785502,3.10224243854187,0.364041872491084,0.196939724685305,1.04460908983565,0.122582762830012,0.28228598383866,1.25056740146626,5.50255729320873,1.85286014220377
27,"ALB",2000,16633.271484375,2177.1,3121.9,-0.011270809076672,0.192404759703372,0.248082554541881,0.0426036120429316,-0.0840689002454367,0.0646287159780954,0.127546934309283,5.32793218372626,1.84497351355051,0.112902484957053,0.731569519085021,0.0957696017638143,0.601536783225352,3.89775278536623,0.510253943460073,0.188881703072382,1.22388888723915,0.16021901989663,0.016894893716767,1.58676287470024,8.4541649880574,2.65459590423911
28,"ALB",2005,20162.416015625,2271.9,3086.9,-0.0484696093153811,0.430828833790555,0.662567610074277,0.00364507111827006,-0.0893780521150429,0.0148297906943746,0.0975993833984585,6.5316064710956,2.01910836183245,0.0994321933183679,0.747876226946609,0.104317971741714,0.64945195731348,4.88483320350303,0.681363939279747,0.186599716627174,1.40350411031975,0.195768627005933,-0.0513723075989194,1.59789648937433,10.4368310501383,2.99869712379891
29,"ALB",2010,31021.064453125,2280.2,2940.8,-0.00600069990190466,0.0816240142475806,0.252589945306449,0.0495997693016461,-0.189382571767323,0.067720933775723,0.181749747000428,10.5485121236143,2.44655660820344,0.090562231383212,0.756293307604596,0.114639066748531,0.955296795687377,7.97776912427546,1.20927158543671,0.213363242317167,1.78181555145741,0.270087900928365,0.0806859385287808,1.52731066061402,16.1108550200124,3.59832073036344
30,"ALB",2015,33659.421875,2396.2,2923.2,-0.0166900425896968,0.0700821305556261,0.0967107328361703,0.000250260689523607,-0.276677038128962,0.0098623849162669,0.114281520062275,11.5145805538451,2.52689440884826,0.0712377931725232,0.770136048743845,0.130915616392622,0.820273307963174,8.86779357068098,1.50743841070913,0.174077676315354,1.88191531266757,0.319907246983753,0.104391973834735,1.55724229044944,17.9309917952343,3.80529922824723
31,"ARE",1970,70528.65625,152.9,235.4,0.822704952760862,0.42263108191913,0.264588651090572,0.909379313608021,0.877264069972574,1.0601302584447,1.39048723937993,299.611963678845,5.70582027585772,0.236102027468934,0.2648790058862,0.0712884238064094,70.7389920785238,79.3609190908646,21.358864644208,1.34636902162823,1.51046940099566,0.406521394342041,1.2083704758083,0.578521083605284,173.331837888592,3.299009642886
32,"ARE",1975,107625.2265625,381.1,537.2,0.644315209496551,1.05113403896128,0.615891268626427,0.651736161512695,0.650197550535582,0.723159710669785,1.02257132622179,200.344800004654,5.30501886131041,0.23143531881396,0.311729204933088,0.12280241406455,46.366862661796,62.4533252179293,24.6028250858509,1.22661641986113,1.65217721858846,0.650857692171211,1.00485567403329,0.749268815148783,150.112110920707,3.9711546027691
33,"ARE",1980,307906.1875,732.2,1024.1,0.28855965039314,-0.262487548865817,0.344534956585932,0.231509982470617,0.236049956850781,0.261522710347975,0.361628793294987,300.6602748755,5.70930146654933,0.232040426113084,0.335837202950014,0.180142037694619,69.7653382973881,100.97290575237,54.1615545698969,1.32401825623804,1.91628068987012,1.02788703942199,0.341556333920259,1.03231964038811,310.377506838468,5.89039622553028
