"iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","PWLF_g","PWLF_o_LF","Y_o_L_t_PWLF_o_LF","log_Y_o_L_t_PWLF_o_LF"
"FRA",2015,2730343.75,52682.1,64455.3,0.0218140359001513,0.076345992763402,0.0926653659611851,0.026554252168248,-0.160211713631091,0.0236169812852296,0.12606808719049,42.3602675032154,3.76954352646696,0.164479016591973,0.537947424267446,0.282900643672139,6.9673751415018,22.7875967946347,11.9837469427836,0.616173074203596,2.0152644698324,1.05980545675359,-0.00327810738205514,2.04226764321807,86.5110036798789,7.65076517444124
"GRC",2015,280679.0625,9586,11217.8,-0.00345553027235468,0.0149039219994549,-0.0502042826667477,0.0014592456206266,-0.172527710210302,0.0293546911385256,0.097489355408233,25.020865276614,3.25889872682099,0.24346964322971,0.451982057166701,0.284633841018151,6.09182114219584,11.3089821598149,7.12178498928032,0.783901666389165,1.45525118898168,0.916438449266394,-0.0927396510929874,1.95626725511064,48.9474994351747,6.29861341578808
"HRV",2015,95440.5703125,3608.2,4236.3,-0.0233754241546258,0.117981135721626,0.0236886902470808,-0.0232369785356479,-0.28264673329813,-0.0322062371103238,0.0847732550710951,22.5292284098152,3.15824341043855,0.0564547419766088,0.748267834377252,0.183609556011308,1.2718817768082,16.8578969524029,4.1365816256035,0.17584599282169,2.33071475709024,0.571909525009179,-0.0474860763953107,2.08034801733133,46.8686356543637,6.47989610286122
"HUN",2015,247172.90625,8369.5,9782.4,-0.0186011088787374,0.135871054736528,0.0988512820416734,-0.015409923909953,-0.340672662839086,-0.0404182054904147,0.0831179243986853,25.267102781526,3.26831731141548,0.0278152816775196,0.724690841746819,0.242786307425772,0.702811581042984,18.3108379832475,6.13450658367416,0.0898295429753577,2.34039143903968,0.784079172362229,0.00594535113324213,2.04084087686288,51.5661361964342,6.59090227377375
"IND",2015,7381976,933967.3,1309112.2,0.0542921051639897,0.216956428011425,0.216103278829202,0.0852939812020796,0.0496763344559401,0.152157970221179,0.216105906621957,5.63891773371297,1.89294895829302,0.203956284122581,0.39526105464292,0.104251615661491,1.15009270744102,2.22884457047205,0.587866284321808,0.352781584795554,0.68367994575291,0.180323201850713,0.0927114405064309,0.881530352039934,4.97087713492422,1.52477613512081
"IRL",2015,353539,3678.5,4700.1,0.0361389481361591,0.348718431601256,0.357326150172034,0.0429038048500772,-0.168244229202813,0.0603031300920778,0.0916020506982287,75.219463415672,4.33361685547961,0.163871143128993,0.397716460513796,0.438412396357211,12.3262994554756,29.9160187514281,32.9771452087683,0.707990528678808,1.71829818091755,1.89412130988771,0.0728533030660792,2.17335883525913,163.478885397902,9.38980128778777
"ITA",2015,2241117,51336.2,59504.2,-0.00746580531662921,0.0957557590518334,0.0550643346899164,-0.00194980485737517,-0.213324590066316,0.0167827963151765,0.133702263177224,37.6631733558303,3.6548875541112,0.175431761602923,0.670072969951029,0.14674440258531,6.60731684936961,25.2370744283217,5.5268598735683,0.636586212915992,2.43148224940009,0.532488887159676,0.0392764188759713,1.78529432724178,67.2398497380876,6.47826678781016
"LTU",2015,79636.4375,2504.1,2932.1,-0.0322910439120205,0.118352817415577,0.0942688454593288,-0.0404461653218853,-0.533061765212873,-0.0569559154469292,0.0254321490638549,27.1602051430715,3.33790981617352,0.0686074837266882,0.428776806038097,0.497264486242562,1.86339333236679,11.6456660125857,13.5058054567121,0.226524955323447,1.41571504383461,1.64184443753642,-0.047756995169733,2.24955932515538,61.0984927527295,7.42748892611025
"LUX",2015,46689.50390625,474.1,566.9,0.0554841833744106,0.176651045961526,0.0839409688541082,0.0550748114988533,-0.0945585826250133,0.0399824813885363,0.138703971712951,82.3593295224025,4.42316053481535,0.166209660409196,0.540814174224847,0.29276523940097,13.6889161914476,44.5410927853702,24.1119488245296,0.733166060357038,2.38558093750691,1.29141432966443,0.0966156595420191,2.03913270530042,167.941602415745,8.99480143578691
"LVA",2015,49375.71875,1691.4,1992.9,-0.0313297661326022,0.127308150617919,0.116048268699894,-0.0364026597090232,-0.258286984767975,-0.0598366814103128,0.0351545889264724,24.775813512971,3.24943659149888,0.0297978006385243,0.711954593827598,0.257183398368216,0.738264751716768,17.6392542463756,6.37192791660305,0.0956470042286258,2.28528020817681,0.82552473887802,-0.114163823125924,2.19876949099733,54.4763028669601,7.05775964321674
