Time,cntryID,cntry,Working_Age,Pop,LF,PWLF,Inactive
2065,reg752,SE,6094918.36,12418029.94,6029996.16,14422194.71,6323111.58
2070,reg752,SE,6187841.9,12617610.05,6087703.82,14633665.38,6429768.15
2075,reg752,SE,6193065.4,12810322.04,6108463.2,14761319.72,6617256.64
2080,reg752,SE,6138681.86,12979935.17,6090209.49,14781074.53,6841253.31
2085,reg752,SE,6081324.3,13103600.52,6060562.99,14757103.72,7022276.22
2090,reg752,SE,6069440.65,13178969.27,6045780.7,14760099.25,7109528.62
2095,reg752,SE,6057619.6,13229018.17,6031556.19,14761447.57,7171398.57
2100,reg752,SE,6037546.43,13272284.91,6008066.04,14742585.05,7234738.47
2015,reg840,US,190303900,319907400,162967421.5,350119195.5,129603500
2020,reg840,US,197252914,335388238,169724066.3,366516811,138135324
2025,reg840,US,197506454.4,342011013.8,171832979.1,373976326.6,144504559.4
2030,reg840,US,198784816.1,349708538.9,174033789.9,381916779.9,150923722.9
2035,reg840,US,200551845.3,357256192.4,175890159.8,389139374.6,156704347.1
2040,reg840,US,202068225.2,364364763.1,177176947.4,395365067.7,162296537.8
2045,reg840,US,202477587.7,370894851.5,178164031.3,400467453.4,168417263.8
2050,reg840,US,202055544.1,377025137.3,179081090.3,405052173.4,174969593.2
2055,reg840,US,201541529.6,382280254.3,180082366,409769605.3,180738724.7
2060,reg840,US,201028693,387352250,181034596.7,414266144.3,186323557
2065,reg840,US,201401074.7,392274604.5,181746704.4,418101858.6,190873529.8
2070,reg840,US,201025337.9,397002501.4,181791961.9,420514040.6,195977163.5
2075,reg840,US,198870492,401171610.2,181218234.4,421434419.4,202301118.2
2080,reg840,US,196769044.6,404260557.3,180265631.9,421164423.4,207491512.7
2085,reg840,US,194997925.9,406044539.5,179300180.5,420589867.3,211046613.7
2090,reg840,US,194434840.8,406645231.3,178520682.1,420331463.9,212210390.5
2095,reg840,US,193130436.4,406411013.1,177473311.6,419413383.3,213280576.8
2100,reg840,US,190811942,405502675.5,175910079.2,417257050.6,214690733.5
