Time,region,wa_weight,wa_sum,pop_Sum,non_wa
1970,reg100,7977761.536,5056700,8501100,3444400
1975,reg100,8915004.192,5184400,8731800,3547400
1980,reg100,9679891.526,5226700,8870300,3643600
1985,reg100,10336843.87,5389200,8966300,3577100
1990,reg100,10719152.03,5227200,8827700,3600500
1995,reg100,10347233.85,4986000,8363300,3377300
2000,reg100,10467284.38,4875200,7998200,3123000
2005,reg100,10598865.72,4793500,7677000,2883500
2010,reg100,10533534.77,4664000,7386600,2722600
2015,reg100,10615481.56,4426500,7177900,2751400
2020,reg100,9904168.917,4163785,7020235,2856450
2025,reg100,9284825.032,3913564.466,6678010.832,2764446.366
2030,reg100,8740865.908,3696614.32,6423878.791,2727264.471
2035,reg100,8290819.472,3518417.796,6182870.171,2664452.375
2040,reg100,7933406.961,3314478.897,5957057.744,2642578.846
2045,reg100,7510876.111,3082615.053,5747942.771,2665327.718
2050,reg100,7167592.996,2886099.674,5558129.662,2672029.988
2055,reg100,6815854.843,2695919.609,5380614.994,2684695.385
2060,reg100,6618424.566,2578347.023,5209715.775,2631368.752
2065,reg100,6585716.991,2533072.604,5042841.218,2509768.614
2070,reg100,6502654.441,2472169.79,4881814.889,2409645.099
2075,reg100,6344176.432,2384770.234,4729390.827,2344620.593
2080,reg100,6144988.736,2285458.131,4592734.255,2307276.124
2085,reg100,5934783.942,2185721.053,4473850.45,2288129.398
2090,reg100,5762674.733,2103562.519,4373139.588,2269577.068
2095,reg100,5609655.897,2031217.297,4284536.748,2253319.451
2100,reg100,5451841.283,1959691.008,4196331.665,2236640.657
1970,reg104,3527375.375,11779700,26751400,14971700
1975,reg104,4594985.353,13407000,30172200,16765200
1980,reg104,6113807.767,15326200,33946000,18619800
1985,reg104,7612263.138,17455600,37941500,20485900
1990,reg104,9774265.416,19883300,41469400,21586100
1995,reg104,11753661.35,22171200,44246700,22075500
2000,reg104,15360444.58,24896700,47271800,22375100
2005,reg104,17826114.82,27287600,49619200,22331600
2010,reg104,21159829.97,29006100,51358200,22352100
2015,reg104,25959367.69,30162900,52404600,22241700
2020,reg104,26884661.89,31779078,53227971,21448893
2025,reg104,30693869.78,33319696.03,54951013.69,21631317.66
2030,reg104,34439554.99,34426834.75,56293773.77,21866939.01
2035,reg104,37880549.2,35123646.67,57117637.27,21993990.6
2040,reg104,41622271.04,35648126.22,57455260.73,21807134.52
2045,reg104,44982874.27,35763358.3,57436187.34,21672829.04
2050,reg104,47657669.64,35450343.91,57142289.08,21691945.17
2055,reg104,49712856.99,34846384.37,56590892.42,21744508.05
2060,reg104,51140998.86,33953248.44,55818291.63,21865043.18
2065,reg104,52133830.98,32965620.14,54863613.17,21897993.04
2070,reg104,52641050.47,31863457.07,53775715.44,21912258.38
2075,reg104,52884031.06,30789110.21,52609243.07,21820132.85
2080,reg104,52831245.1,29684161.63,51400835.69,21716674.07
2085,reg104,52253840.41,28410983.46,50160199.15,21749215.69
2090,reg104,51528307.96,27197519.79,48914370.76,21716850.97
2095,reg104,50690907.01,26061560.91,47642900.8,21581339.89
2100,reg104,49924615.14,25072270.39,46355607.45,21283337.06
1970,reg108,118646.7676,1417200,3454800,2037600
1975,reg108,125003.3452,1482500,3670500,2188000
1980,reg108,162333.2757,1713600,4117000,2403400
1985,reg108,200421.4983,1969100,4731500,2762400
1990,reg108,250687.3404,2247800,5498300,3250500
1995,reg108,300267.1608,2347600,6112200,3764600
2000,reg108,424909.3591,2478900,6619800,4140900
2005,reg108,530360.8672,3151500,7731200,4579700
2010,reg108,1058436.634,3998400,9164500,5166100
2015,reg108,1483181.707,4336600,10199700,5863100
2020,reg108,1558202.737,4891430,12053897,7162467
2025,reg108,2098803.427,5719484.238,13674710.2,7955225.961
2030,reg108,2918137.974,6882279.351,15345498.7,8463219.346
2035,reg108,4057234.393,8269482.453,17092854.27,8823371.819
2040,reg108,5407664.174,9581551.864,18884929.02,9303377.151
2045,reg108,6914112.923,10766319.66,20644613.46,9878293.805
2050,reg108,8626323.822,11875722.72,22312148.13,10436425.41
2055,reg108,10604570.5,13028262.22,23830484.35,10802222.13
2060,reg108,12890511.22,14254179.9,25184776.62,10930596.71
2065,reg108,15378925.01,15454788.7,26400351.56,10945562.85
2070,reg108,17921865.73,16471943.34,27462039.18,10990095.84
2075,reg108,20319314.14,17169712.97,28367761.84,11198048.87
2080,reg108,22513140.59,17601944.36,29082453.12,11480508.76
2085,reg108,24627833.88,17969964.99,29589764.91,11619799.92
2090,reg108,26633722.35,18261245.6,29935214.04,11673968.44
2095,reg108,28401091.22,18409199.76,30146457.01,11737257.25
2100,reg108,29825119.58,18354990.93,30243985.77,11888994.84
1970,reg112,7485756.945,4826600,8976900,4150300
1975,reg112,8962544.036,5132500,9322500,4190000
1980,reg112,10666213.63,5557400,9642200,4084800
1985,reg112,11828503.83,5984000,9985000,4001000
1990,reg112,12992543.78,6070900,10233000,4162100
1995,reg112,13287803.58,5960300,10157900,4197600
2000,reg112,14021256.11,5972700,9953700,3981000
2005,reg112,14457785.14,5953600,9635200,3681600
2010,reg112,15231240.51,6151000,9489000,3338000
2015,reg112,15664995.12,6133200,9485100,3351900
2020,reg112,15294521.39,5975649,9661044,3685395
2025,reg112,14259194.94,5621320.706,9393646.096,3772325.391
2030,reg112,13552794.81,5406303.091,9216820.222,3810517.131
2035,reg112,13276041.15,5356779.812,9048719.966,3691940.154
2040,reg112,13172453.94,5245796.342,8899875.259,3654078.917
2045,reg112,12782034.92,5018207.737,8772196.135,3753988.398
2050,reg112,12163076.45,4721523.65,8651718.971,3930195.322
2055,reg112,11541651.62,4430861.129,8522395.763,4091534.634
2060,reg112,11347382.8,4312484.637,8386818.11,4074333.474
2065,reg112,11449947.81,4312460.217,8246503.761,3934043.545
2070,reg112,11471174.22,4281703.722,8107919.735,3826216.012
2075,reg112,11274957.02,4169084.004,7972001.577,3802917.573
2080,reg112,10854037.35,3974637.093,7836709.546,3862072.453
2085,reg112,10475466.56,3803037.003,7702518.822,3899481.819
2090,reg112,10270477.32,3701349.934,7570721.511,3869371.577
2095,reg112,10088266.64,3610878.58,7437816.903,3826938.323
2100,reg112,9873479.94,3511695.835,7293725.611,3782029.777
1970,reg116,496222.4587,2850100,7008700,4158600
1975,reg116,601118.4034,3176900,7537600,4360700
1980,reg116,606626.2674,3041900,6705900,3664000
1985,reg116,720182.6256,3401300,7730500,4329200
1990,reg116,899171.796,3858200,8993300,5135100
1995,reg116,1246348.497,4573000,10675200,6102200
2000,reg116,1644690.281,5118800,12178200,7059400
2005,reg116,2397511.638,6326700,13300800,6974100
2010,reg116,3440534.675,7361200,14344100,6982900
2015,reg116,4708662.017,8407100,15519400,7112300
2020,reg116,5314414.263,9178934,16296280,7117346
2025,reg116,6359966.583,9785112.002,17300452.85,7515340.848
2030,reg116,7623967.815,10424245.73,18197944.01,7773698.278
2035,reg116,8920189.007,11037910.4,18977508.14,7939597.732
2040,reg116,10295494.94,11633737.24,19616713.69,7982976.455
2045,reg116,11851232.57,12309881.67,20075755.18,7765873.513
2050,reg116,13108151.31,12449134.01,20392745.88,7943611.877
2055,reg116,14288454.51,12439860.63,20602702.52,8162841.89
2060,reg116,15409599.51,12392532.92,20720372.01,8327839.084
2065,reg116,16487625.91,12374958.78,20742694.38,8367735.6
2070,reg116,17344479.2,12197752.14,20651097.39,8453345.249
2075,reg116,17945551.13,11862323.9,20447705.76,8585381.86
2080,reg116,18345170.8,11441302.09,20158907.45,8717605.353
2085,reg116,18596539.12,10985475.88,19817533.78,8832057.899
2090,reg116,18762270.67,10546937.83,19436074.88,8889137.056
2095,reg116,18827860.97,10108972.59,19002912.83,8893940.242
2100,reg116,18770728.02,9659011.916,18518888.29,8859876.372
1970,reg12,820906.2011,5620500,14549300,8928800
1975,reg12,1287004.034,6466800,16709200,10242400
1980,reg12,2051356.364,7576100,19337900,11761800
1985,reg12,3295892.897,9097200,22565700,13468500
1990,reg12,5227355.876,10917800,25912000,14994200
1995,reg12,7662077.145,12991300,28903500,15912200
2000,reg12,11089555.17,15367800,31184000,15816200
2005,reg12,15758245.19,18071500,33291400,15219900
2010,reg12,21668033.45,20679300,36124700,15445400
2015,reg12,27542819.07,23091600,39871200,16779600
2020,reg12,30827427.89,24384838,43090987,18706149
2025,reg12,35573666.11,25688130.56,46733629.36,21045498.81
2030,reg12,41285962.66,27424477.62,49867680.05,22443202.43
2035,reg12,47926066.82,29577368.21,52621898.51,23044530.3
2040,reg12,55967105.6,31747961.69,55228056.74,23480095.05
2045,reg12,63091565.12,33262258.8,57747060.04,24484801.24
2050,reg12,68623154.3,33904612.78,60088847.12,26184234.34
2055,reg12,73301562.33,34251681.22,61957567.17,27705885.95
2060,reg12,78178927.85,34849575.73,63274290.74,28424715.01
2065,reg12,83989649.03,36024056.06,64075199.06,28051142.99
2070,reg12,89818701.43,37284955.93,64568818.71,27283862.79
2075,reg12,93441588.69,37642013.15,64933187.96,27291174.82
2080,reg12,94327320.84,36947447.59,65246549.85,28299102.26
2085,reg12,93298787.95,35610830.15,65495384.75,29884554.61
2090,reg12,92123683.84,34365463.72,65605346.99,31239883.27
2095,reg12,91546291.35,33479725.3,65532891.76,32053166.46
2100,reg12,91171385.68,32778369.42,65216840.97,32438471.56
1970,reg120,447514.3614,3021200,6666100,3644900
1975,reg120,602631.3956,3347900,7610000,4262100
1980,reg120,840767.924,3738800,8788200,5049400
1985,reg120,1154705.852,4222500,10229600,6007100
1990,reg120,1634147.054,4828600,11909700,7081100
1995,reg120,2218589.117,5560400,13700600,8140200
2000,reg120,2777175.692,6418700,15582800,9164100
2005,reg120,4343829.408,7455600,17758400,10302800
2010,reg120,5828649.544,8483700,19974400,11490700
2015,reg120,6952425.971,9893000,22837900,12944900
2020,reg120,9780009.363,11496744,26137129,14640385
2025,reg120,12750915.84,13404974.77,29624644.81,16219670.04
2030,reg120,16464490.39,15632267.16,33201021.81,17568754.65
2035,reg120,20802583.78,18095522.51,36782301.62,18686779.11
2040,reg120,26182543.79,20827208.96,40324691.5,19497482.54
2045,reg120,32037097.77,23497065.55,43795728.04,20298662.49
2050,reg120,38159904.46,26060851.06,47105848.09,21044997.04
2055,reg120,44373876.48,28465104.28,50198552.81,21733448.53
2060,reg120,50645328.49,30729628.39,52968351.75,22238723.36
2065,reg120,56915245.68,32873515.88,55413951,22540435.12
2070,reg120,62866311.03,34721082.96,57536369.2,22815286.24
2075,reg120,68206975.85,36173536.95,59190066.78,23016529.83
2080,reg120,72792577.36,37187172.03,60455872.74,23268700.7
2085,reg120,76432203.52,37726025.16,61305915.23,23579890.07
2090,reg120,79440442.07,38020786.84,61814435.06,23793648.22
2095,reg120,81575614.7,37925107.29,62043666.03,24118558.74
2100,reg120,82922784.33,37557469.56,62014438.74,24456969.18
1970,reg124,23753748.14,11187400,21443500,10256100
1975,reg124,29375175.11,12774800,23144600,10369800
1980,reg124,34861983.54,14222700,24520600,10297900
1985,reg124,40282162.86,15672500,25853200,10180700
1990,reg124,45280457.15,16893200,27667600,10774400
1995,reg124,49463258.43,17846000,29304700,11458700
2000,reg124,53311890.92,18868800,30706800,11838000
2005,reg124,57631267.06,20150100,32259900,12109800
2010,reg124,61895200,21448100,34130900,12682800
2015,reg124,65290189.39,22280000,35946300,13666300
2020,reg124,68107014.56,22926730,37758232,14831502
2025,reg124,66109223.75,22743826.83,38643508.15,15899681.33
2030,reg124,63657252.66,22421911.12,39443005.07,17021093.95
2035,reg124,62185668.47,22452429.47,40185871.4,17733441.93
2040,reg124,62585284.23,22504549.01,40862897.76,18358348.75
2045,reg124,62561930.96,22365777.75,41504996.24,19139218.49
2050,reg124,62171555.4,22102275,42171047.59,20068772.58
2055,reg124,61722050.32,21807504.36,42738768.37,20931264.01
2060,reg124,61294490.77,21515947.85,43273854.06,21757906.21
2065,reg124,61111468.93,21320593.1,43765390.69,22444797.59
2070,reg124,61599252.17,21387950.24,44224159.34,22836209.1
2075,reg124,61563440.14,21272129.75,44601108.4,23328978.65
2080,reg124,60963932.4,20970475.68,44846444.97,23875969.29
2085,reg124,60299820.78,20660081.59,44926908.02,24266826.43
2090,reg124,59905443.69,20454513.63,44839698.2,24385184.57
2095,reg124,59268947.56,20175893.66,44615116.04,24439222.38
2100,reg124,58393586.02,19826125.73,44290480.7,24464354.97
1970,reg132,13237.49185,97400,269500,172100
1975,reg132,15707.61408,96800,271800,175000
1980,reg132,18112.00294,96300,286500,190200
1985,reg132,26658.566,118300,313600,195300
1990,reg132,33699.68147,133200,341100,207900
1995,reg132,46333.57774,154700,388800,234100
2000,reg132,61333.68256,174100,434000,259900
2005,reg132,92020.79043,206100,473900,267800
2010,reg132,133704.2721,245900,502700,256800
2015,reg132,171898.0627,285400,532700,247300
2020,reg132,261398.7699,337853,579933,242080
2025,reg132,319555.1566,364941.7033,608095.7751,243154.0718
2030,reg132,377686.6612,387258.5892,634171.7715,246913.1823
2035,reg132,435016.612,405579.676,655404.0708,249824.3948
2040,reg132,494060.2268,420496.7791,672566.4648,252069.6858
2045,reg132,546443.1639,428391.2571,685321.7508,256930.4937
2050,reg132,581998.065,425606.9524,693848.6616,268241.7093
2055,reg132,602498.1211,413494.7477,698084.067,284589.3192
2060,reg132,611184.1897,396052.6302,698446.5006,302393.8704
2065,reg132,617504.2362,380690.645,695844.3751,315153.7301
2070,reg132,623976.8734,368506.6206,690391.4243,321884.8037
2075,reg132,625232.2985,355065.1409,681983.5826,326918.4416
2080,reg132,622637.2478,341229.2879,671255.0388,330025.751
2085,reg132,618084.5133,327885.5176,658597.9819,330712.4644
2090,reg132,612646.8499,315319.314,645019.4521,329700.1382
2095,reg132,607956.074,304243.1942,631758.647,327515.4528
2100,reg132,604522.8691,294910.5241,619519.7424,324609.2182
1970,reg140,61094.78553,841000,1829200,988200
1975,reg140,70899.0928,898000,2017300,1119300
1980,reg140,92910.18901,994000,2275700,1281700
1985,reg140,130565.854,1147400,2630300,1482900
1990,reg140,160448.9213,1255500,2939400,1683900
1995,reg140,203278.579,1436900,3343300,1906400
2000,reg140,312554.7452,1623300,3754400,2131100
2005,reg140,448321.3115,1784900,4127800,2342900
2010,reg140,451200.2686,1915200,4449100,2533900
2015,reg140,497091.8566,1876100,4545700,2669600
2020,reg140,449281.3919,1949713,5272026,3322313
2025,reg140,585189.2416,2365463.744,6099697.888,3734234.144
2030,reg140,773214.7367,2850042.927,7040116.728,4190073.801
2035,reg140,1033930.273,3388762.136,8039503.883,4650741.747
2040,reg140,1368146.248,3960407.295,9056414.946,5096007.651
2045,reg140,1818704.5,4642685.916,10071142.68,5428456.762
2050,reg140,2399790.98,5404881.874,11083714.92,5678833.05
2055,reg140,3096498.954,6198037.143,12067401.93,5869364.787
2060,reg140,3884634.484,6967067.993,13008605.98,6041537.982
2065,reg140,4738206.93,7680060.387,13905101.04,6225040.655
2070,reg140,5661512.7,8350234.617,14745266.18,6395031.562
2075,reg140,6622149.732,8976467.955,15514899.59,6538431.63
2080,reg140,7594970.031,9556051.999,16202259.48,6646207.477
2085,reg140,8562241.58,10088408.07,16804809.44,6716401.376
2090,reg140,9470675.748,10511325.36,17302780.49,6791455.123
2095,reg140,10293647.88,10818440.73,17703282.86,6884842.133
2100,reg140,11021676.89,11024262.01,18035758.41,7011496.396
1970,reg144,3874968.7,5685400,12487900,6802500
1975,reg144,5044565.882,6480100,13756200,7276100
1980,reg144,6442377.789,7368600,15036700,7668100
1985,reg144,7757596.974,8159500,16181200,8021700
1990,reg144,9760728.553,9114900,17331000,8216100
1995,reg144,11356807.82,9923100,18248100,8325000
2000,reg144,13337478.38,10727700,18784000,8056300
2005,reg144,15306460.1,11502600,19525100,8022500
2010,reg144,17185687.66,11955800,20200600,8244800
2015,reg144,19003901.15,12110600,20711400,8600800
2020,reg144,20300822.16,12500906,21683162,9182256
2025,reg144,21527447.18,12865140.97,22224185.51,9359044.536
2030,reg144,22676068.34,13214053.74,22625434.02,9411380.285
2035,reg144,23541476.2,13481230.71,22925757.92,9444527.209
2040,reg144,24569281.26,13583433.83,23130820.79,9547386.962
2045,reg144,25099698.17,13463971.08,23215755.71,9751784.634
2050,reg144,25285642.87,13204137.74,23182130.97,9977993.232
2055,reg144,25572405.53,13068220.8,23056776.09,9988555.29
2060,reg144,25647105.85,12853635.53,22870563.67,10016928.14
2065,reg144,25520025.19,12565013.75,22648326.22,10083312.47
2070,reg144,25017720.61,12111687.01,22400956.14,10289269.14
2075,reg144,24236477.96,11544968.86,22112792.38,10567823.52
2080,reg144,23464678.17,11010761.92,21787122.61,10776360.69
2085,reg144,22831328.48,10564742.76,21436005.74,10871262.98
2090,reg144,22338931.57,10207062.66,21058253.17,10851190.51
2095,reg144,21846513.47,9866539.398,20657314.32,10790774.92
2100,reg144,21293075.01,9512924.218,20234736.54,10721812.32
1970,reg148,105564.1808,1580400,3642000,2061600
1975,reg148,126818.6859,1743800,4086800,2343000
1980,reg148,150088.6603,1880100,4512300,2632200
1985,reg148,180560.1988,2058500,5091900,3033400
1990,reg148,186959.3987,2336200,5956700,3620500
1995,reg148,304984.8811,2688100,6999700,4311600
2000,reg148,357676.746,3156900,8343200,5186300
2005,reg148,314823.7059,3784900,10067600,6282700
2010,reg148,943984.0797,4502500,11882100,7379600
2015,reg148,924690.6321,5435200,14009300,8574100
2020,reg148,1287196.568,6462307,16379185,9916878
2025,reg148,1718394.429,7653357.634,19218819.93,11565462.29
2030,reg148,2331358.488,9129663.074,22315162.38,13185499.31
2035,reg148,3165942.593,10874614.67,25670829.83,14796215.15
2040,reg148,4242241.875,12864433.04,29235326.71,16370893.67
2045,reg148,5598571.924,15155196.73,32898874.76,17743678.03
2050,reg148,7223957.98,17665072.29,36610216.98,18945144.69
2055,reg148,9109943.306,20369137.09,40294403.07,19925265.98
2060,reg148,11224369.95,23184144.24,43867641.8,20683497.56
2065,reg148,13543773.86,25998013.84,47299197.2,21301183.35
2070,reg148,15983060.38,28744430.49,50526173.45,21781742.95
2075,reg148,18441874.39,31284855.64,53547053.66,22262198.02
2080,reg148,20832326.17,33528280.85,56244572.85,22716292
2085,reg148,23095423.34,35453256.5,58669542.57,23216286.06
2090,reg148,25158652.26,36972773.84,60693838.11,23721064.28
2095,reg148,27015622.99,38150542.73,62267899.74,24117357.01
2100,reg148,28578874.39,38868738.09,63409588.16,24540850.07
1970,reg152,3569254.023,4404000,9595000,5191000
1975,reg152,4535982.567,4954300,10456400,5502100
1980,reg152,5746043.758,5617700,11291600,5673900
1985,reg152,7173856.276,6374700,12210400,5835700
1990,reg152,8775681.306,7209100,13262000,6052900
1995,reg152,10451838.72,7983000,14319100,6336100
2000,reg152,12122291.8,8698400,15280400,6582000
2005,reg152,13963129.72,9432600,16147700,6715100
2010,reg152,15961542.1,10204100,16993100,6789000
2015,reg152,18448666.05,10878400,17760800,6882400
2020,reg152,22924550.8,12005734,19206688,7200954
2025,reg152,23778430.76,12177949.86,19581020.21,7403070.345
2030,reg152,24213562.37,12208871.07,19949882.68,7741011.61
2035,reg152,24449918.96,12201826.64,20227034.35,8025207.709
2040,reg152,24908875.84,12097870.45,20394903.69,8297033.237
2045,reg152,24875100.58,11804897.09,20457778.24,8652881.144
2050,reg152,24502634.41,11414978.53,20438794.51,9023815.978
2055,reg152,23727728.16,10864495.36,20329911.47,9465416.108
2060,reg152,22711547.26,10219308.02,20131597.82,9912289.798
2065,reg152,21871626.98,9679496.797,19854620.38,10175123.58
2070,reg152,21343923.89,9304468.613,19514109.13,10209640.52
2075,reg152,20790086.76,8935249.257,19111545.06,10176295.8
2080,reg152,19998332.75,8477280.959,18652055,10174774.04
2085,reg152,19209155.67,8038022.855,18140836.38,10102813.52
2090,reg152,18641288.55,7708361.6,17592380.73,9884019.125
2095,reg152,18033159.56,7373195.906,17030715.28,9657519.371
2100,reg152,17416155.26,7045300.429,16482445.07,9437144.644
1970,reg156,131560283.2,359437000,812521200,453084200
1975,reg156,192308412.5,419030600,908268800,489238200
1980,reg156,258699824.5,473918900,978707400,504788500
1985,reg156,366405299.2,544494400,1055628200,511133800
1990,reg156,497424470.8,636643400,1158801700,522158300
1995,reg156,619451575.7,716690500,1226357600,509667100
2000,reg156,795500273,765705900,1267693300,501987400
2005,reg156,891476691.9,814922800,1306211100,491288300
2010,reg156,1158126837,890146800,1350133000,459986200
2015,reg156,1340437102,934019900,1397059300,463039400
2020,reg156,1421197231,910273351,1423998019,513724668
2025,reg156,1512668463,901173873.2,1426370440,525196567.1
2030,reg156,1589352096,885764618,1416272717,530508098.6
2035,reg156,1646994261,854852501.2,1398856025,544003524.2
2040,reg156,1703289679,817989995.1,1375702415,557712420
2045,reg156,1717568009,780460885.9,1345324441,564863554.8
2050,reg156,1682322244,727679371.3,1306025393,578346021.8
2055,reg156,1599134514,659244051.5,1257592716,598348664.7
2060,reg156,1536879148,608973770.1,1203215813,594242042.6
2065,reg156,1501571387,577412289.3,1146749637,569337347.7
2070,reg156,1454494059,545978329,1091659031,545680701.5
2075,reg156,1374186730,505043376.6,1038709136,533665759.5
2080,reg156,1263631777,455236529.5,986647119.4,531410589.9
2085,reg156,1158661120,410030600.3,935604945.7,525574345.4
2090,reg156,1111977900,388628942.6,887408681.9,498779739.3
2095,reg156,1078339121,373019866,842783730.1,469763864.1
2100,reg156,1040512371,356855098.6,800215810.8,443360712.2
1970,reg158,4486509.653,6443800,14541200,8097400
1975,reg158,6862981.619,7664800,16032000,8367200
1980,reg158,10598406.72,9265800,17740900,8475100
1985,reg158,14551818.61,10590400,19173300,8582900
1990,reg158,18820174.44,11671800,20289600,8617800
1995,reg158,22086349.84,12514600,21203200,8688600
2000,reg158,26415210.53,13501900,21932800,8430900
2005,reg158,31460060.27,14612100,22715500,8103400
2010,reg158,36013322.05,15359400,23192400,7833000
2015,reg158,39650545.44,15851100,23483500,7632400
2020,reg158,41283216.53,15983634,23800896,7817262
2025,reg158,40240170.87,15179436.74,23486820.23,8307383.487
2030,reg158,37948924.4,14098921.93,23078267.33,8979345.406
2035,reg158,35366792.92,13116094.96,22543259.19,9427164.223
2040,reg158,33591974.87,12243107.88,21840839.51,9597731.631
2045,reg158,30878627.86,11054983.76,21009437.04,9954453.281
2050,reg158,28131506.41,9935532.493,20118988.94,10183456.45
2055,reg158,26014732.46,9096755.848,19145793.71,10049037.87
2060,reg158,24020981.79,8320886.291,18151154.11,9830267.82
2065,reg158,22288457.58,7658505.036,17185655.26,9527150.224
2070,reg158,21327102.85,7289340.762,16249091.67,8959750.907
2075,reg158,20673964.45,7026509.126,15352676.75,8326167.619
2080,reg158,19777311.4,6688332.116,14529737.15,7841405.038
2085,reg158,18854745.04,6352304.032,13796758.22,7444454.19
2090,reg158,18213345.32,6114547.252,13151925.9,7037378.643
2095,reg158,17488181.7,5852691.928,12587783.66,6735091.736
2100,reg158,16743476.67,5590348.826,12091061.41,6500712.579
1970,reg170,3643425.443,8717300,22061300,13344000
1975,reg170,5125696.526,10266600,24756500,14489900
1980,reg170,7352116.348,12124900,27738200,15613300
1985,reg170,10635581.96,14405900,31011600,16605700
1990,reg170,14908636.96,16881600,34271700,17390100
1995,reg170,19266199.16,19101600,37441700,18340100
2000,reg170,23955030.07,21592500,40403400,18810900
2005,reg170,29210676.7,24283800,43285200,19001400
2010,reg170,33977157.67,26848900,45916000,19067100
2015,reg170,39350832.8,29055100,48235100,19180000
2020,reg170,46852775.56,31022380,50617028,19594648
2025,reg170,51409572.49,32455590.91,52418803.74,19963212.84
2030,reg170,54903282.97,33251496.26,54193541.46,20942045.2
2035,reg170,57642773.28,33709932.5,55597123.18,21887190.68
2040,reg170,61014557.21,34111153.96,56625131.11,22513977.14
2045,reg170,63452210.97,34128178.67,57273488.02,23145309.35
2050,reg170,64813850.15,33633671.63,57593311.64,23959640.01
2055,reg170,65018881.45,32692620.58,57636138.3,24943517.72
2060,reg170,64172264.64,31392224.68,57435909.31,26043684.63
2065,reg170,62835113.48,30030871.1,57018612.21,26987741.11
2070,reg170,61551091.99,28840791.82,56394003.97,27553212.16
2075,reg170,60529357.34,27886363.43,55572205.9,27685842.47
2080,reg170,59411968.97,26959039.33,54532826,27573786.67
2085,reg170,57993532.96,25945497.74,53348149.11,27402651.37
2090,reg170,56514844.25,24952313.1,52086931.08,27134617.98
2095,reg170,55123126.89,24033161.44,50818411.81,26785250.37
2100,reg170,53782090.01,23167000.07,49607442.52,26440442.45
1970,reg174,11784.15484,95400,227600,132200
1975,reg174,15463.05028,105000,254900,149900
1980,reg174,22827.95435,125500,305700,180200
1985,reg174,33487.67509,144300,353900,209600
1990,reg174,48058.3331,166700,410700,244000
1995,reg174,65227.14171,194500,476300,281800
2000,reg174,100305.6507,228400,544700,316300
2005,reg174,131800.737,269000,615600,346600
2010,reg174,208465.8053,315800,694200,378400
2015,reg174,231866.6607,361200,776500,415300
2020,reg174,276971.9681,376085,798326,422241
2025,reg174,346655.8019,425200.1233,880911.3711,455711.2477
2030,reg174,425540.8504,478875.887,963354.8902,484479.0032
2035,reg174,515860.5424,540286.5815,1043399.216,503112.6349
2040,reg174,623318.4619,603456.4386,1120936.804,517480.3649
2045,reg174,735316.4258,664189.8427,1194867.089,530677.2459
2050,reg174,845687.8456,718737.5941,1263594.775,544857.1811
2055,reg174,953667.2509,767386.9965,1324688.342,557301.3456
2060,reg174,1057284.757,810962.1663,1376032.024,565069.8574
2065,reg174,1155929.342,849146.2634,1419492.373,570346.1099
2070,reg174,1250926.722,883333.1205,1452684.564,569351.4439
2075,reg174,1333946.843,908089.5957,1477547.546,569457.9501
2080,reg174,1399136.249,920188.2115,1493279.538,573091.3269
2085,reg174,1451324.839,924712.5197,1502721.64,578009.1205
2090,reg174,1489993.485,921130.4435,1507146.232,586015.7882
2095,reg174,1516467.284,912202.5516,1506716.206,594513.6548
2100,reg174,1531116.142,897096.1165,1501238.223,604142.1065
2015,reg175,,106300,239500,133200
2020,reg175,,128807,300350,171543
2025,reg175,,151228.2065,356522.1715,205293.9649
2030,reg175,,181817.5532,419780.4649,237962.9117
2035,reg175,,214211.8671,490694.2667,276482.3997
2040,reg175,,251962.3753,570676.1404,318713.7651
2045,reg175,,293492.4938,660654.4344,367161.9407
2050,reg175,,339348.8352,760446.1526,421097.3174
2055,reg175,,390337.459,870051.8956,479714.4366
2060,reg175,,448105.0585,989723.8751,541618.8166
2065,reg175,,518969.9766,1121702.036,602732.0595
2070,reg175,,593971.0069,1267671.871,673700.8637
2075,reg175,,672682.6681,1429310.129,756627.4609
2080,reg175,,760485.3079,1607847.298,847361.9904
2085,reg175,,855834.1593,1804349.969,948515.8097
2090,reg175,,962191.9023,2019961.63,1057769.728
2095,reg175,,1080618.452,2256301.658,1175683.205
2100,reg175,,1210969.45,2514847.407,1303877.957
1970,reg178,92357.2732,572800,1346300,773500
1975,reg178,140801.7567,654600,1569800,915200
1980,reg178,234380.4696,742100,1817700,1075600
1985,reg178,337596.6303,859000,2102200,1243200
1990,reg178,503571.4773,997000,2408900,1411900
1995,reg178,549613.0531,1165000,2752700,1587700
2000,reg178,771297.1343,1364400,3154200,1789800
2005,reg178,1210088.599,1541800,3577900,2036100
2010,reg178,1475983.909,1801100,4181800,2380700
2015,reg178,1595611.57,2216600,4994800,2778200
2020,reg178,2155616.297,2573181,5635288,3062107
2025,reg178,2668111.213,2952348.523,6343075.616,3390727.093
2030,reg178,3350575.146,3426435.202,7073203.866,3646768.663
2035,reg178,4223036.915,3978690.101,7819623.244,3840933.143
2040,reg178,5195939.951,4501019.97,8560862.87,4059842.9
2045,reg178,6254933.881,4999117.145,9274487.134,4275369.988
2050,reg178,7423242.228,5498197.898,9950894.696,4452696.798
2055,reg178,8696660.359,6001861.407,10571251.7,4569390.295
2060,reg178,10046204.99,6502397.687,11124512.97,4622115.286
